PPRR
==        PPRR==
5566DRR5566RR556RR11223379923399------------------0F88AAIIQZ00AA0AAAA4BBEEJJLLBBEEJJLLBEJLUUVVUUUUUUHKKTTSSWW44MMNNXKTTSSWWTTSW
===========================================================

Waiting Time
ID	PPRR	
===========================================================
0	11	
1	18	
2	25	
3	26	
4	58	
5	9	
6	11	
7	24	
8	2	
9	28	
10	11	
11	12	
13	4	
14	13	
15	0	
17	50	
18	6	
19	14	
20	64	
21	15	
22	29	
23	31	
26	8	
27	12	
28	51	
29	69	
30	10	
31	10	
32	52	
33	25	
35	9	
===========================================================

Turnaround Time
ID	PPRR	
===========================================================
0	15	
1	20	
2	28	
3	30	
4	61	
5	15	
6	16	
7	25	
8	4	
9	32	
10	19	
11	17	
13	5	
14	18	
15	1	
17	51	
18	8	
19	19	
20	67	
21	20	
22	31	
23	33	
26	9	
27	18	
28	56	
29	75	
30	18	
31	12	
32	57	
33	26	
35	10	
===========================================================

